lambda1,lambda2,lambda3,x_opt,cov_matrix,sensitivity_norm,P_matrix,P_flattened
0.5757342548156789,0.4010163557839793,0.02324938940034172,-2.0,"[[-11.99155159532026, -12880.943125144951, 25761.886250290187], [-12880.943125144951, -64.40471562572512, 4796.620638128245], [25761.886250290187, 4796.620638128245, 38.198133610522866]]",41294.162394781306,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.13162795182161172,0.4351923034567421,0.4331797447216463,-1.7076083579264185,"[[4.970501221930235, -5897.681711480871, 11453.27015556475], [-5897.681711480871, -29.61890919164194, -1900.149330435532], [11453.27015556475, -1900.149330435532, 11.706701604319747]]",18415.815693066874,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.24794541026134148,0.46005471934479636,0.29199987039386216,-1.8453300538847843,"[[-0.9956899121810636, -8796.711834242287, 16798.782905301974], [-8796.711834242287, -44.20093860792935, 569.4876290332118], [16798.782905301974, 569.4876290332118, 20.902003926269508]]",26829.34058667325,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.9223596842903483,0.04152028891393499,0.03612002679571669,2.0,"[[-34.67945381009159, 4172.992378188951, -8345.984756377973], [4172.992378188951, 20.864961890944755, 13871.781524036582], [-8345.984756377973, 13871.781524036582, 6.907245959573327]]",23643.032481190658,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.24504766927126817,0.3444187880012821,0.41053354272744985,-1.627728093675547,"[[6.859881852090055, -4681.762208469208, 9090.004843839451], [-4681.762208469208, -23.54008628699571, -2671.241602704093], [9090.004843839451, -2671.241602704093, 7.899533489425181]]",14945.430668657742,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.4039315349042013,0.14555117885576266,0.45051728624003606,-1.4067897921263182,"[[8.151878145224067, -2475.5048180407966, 4846.535326631205], [-2475.5048180407966, -12.486912478630963, -3251.0269999163907], [4846.535326631205, -3251.0269999163907, 2.0423456509588434]]",8965.078761979838,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.09910774889747592,0.5109925377469156,0.38989971335560847,-1.809532454980709,"[[0.9784408756862817, -7899.48041673707, 15268.348831227562], [-7899.48041673707, -39.653793618762734, -270.6472788358383], [15268.348831227562, -270.6472788358383, 18.247972416927283]]",24314.541740308327,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6686182757099127,0.05234499954660186,0.2790367247434854,-1.1913715168708976,"[[6.309048532623507, -1423.9695638972448, 2804.3285508131353], [-1423.9695638972448, -7.2749267245376, -2584.1663051277305], [2804.3285508131353, -2584.1663051277305, 0.4013218269594887]]",5756.719530639762,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6095385151610274,0.07532910750283658,0.3151323773361359,-1.2647519884064569,"[[7.11970959479622, -1699.0433889392518, 3330.437787372791], [-1699.0433889392518, -8.64035399982761, -2882.0096859045916], [3330.437787372791, -2882.0096859045916, 0.6698722655205991]]",6676.017828026231,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.06473260577629444,0.34918975836875865,0.586077635854947,-1.5844342599790937,"[[7.519401038071116, -4109.683009702288, 8053.983414661694], [-4109.683009702288, -20.63851337701106, -2965.032280740267], [8053.983414661694, -2965.032280740267, 6.309978145542239]]",13457.178074354104,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5891512873990055,0.3377291523507626,0.07311956025023195,-2.0,"[[-11.99155159532026, -12880.943125145022, 25761.886250290117], [-12880.943125145022, -64.40471562572529, 4796.620638128208], [25761.886250290117, 4796.620638128208, 38.19813361052269]]",41294.162394781255,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.8724425466836573,0.05430873180084591,0.07324872151549693,2.0,"[[-34.67945381009159, 4172.992378188951, -8345.984756377973], [4172.992378188951, 20.864961890944844, 13861.016460805295], [-8345.984756377973, 13861.016460805295, 6.907245959573194]]",23630.40190641839,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6494460525131223,0.23862449554806858,0.11192945193880931,-1.630575914277191,"[[6.717605847642716, -4909.015402106967, 8863.16653781801], [-4909.015402106967, -25.032008823663343, -2414.2322175986483], [8863.16653781801, -2414.2322175986483, 7.607881986688092]]",14729.768178725202,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.04075066135259467,0.6394188296875352,0.31983050895987025,-2.0,"[[-11.99155159532026, -12880.943125145022, 25761.886250290045], [-12880.943125145022, -64.40471562572547, 4796.6206381281745], [25761.886250290045, 4796.6206381281745, 38.19813361052269]]",41294.16239478116,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
