lambda1,lambda2,lambda3,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.02317426496436527,0.23194029069629146,0.7448854443393432,"[-1.4849624418972491, -1.48496248056632, -1.4849625109243414]","[[24.64943154895778, -9234.659047567533, 18199.452463478137], [-9234.659047567533, -46.37910904891953, -9805.136844612149], [18199.452463478137, -9805.136844612149, 10.513554781700307]]","[[0.0001521138396321504, 0.00015211396132565347, 0.0001521136803063968], [0.00015211396132565347, 0.00015211408302469472, 0.00015211380199943504], [0.0001521136803063968, 0.00015211380199943504, 0.00015211352099695654]]",1.5075523177277628,32020.029382007913,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.04079173054623979,0.6933418471015381,0.2658664223522221,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.829375435496, 77285.65875087013], [-38642.829375435496, -193.21414687717748, 14389.861914384312], [77285.65875087013, 14389.861914384312, 114.59440083156665]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",9.431013114355505,123882.48718434368,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5302679556339153,0.04473702948999596,0.4249950148760889,"[-1.271615489053193, -1.2716155016935402, -1.2716154888851199]","[[21.584226863863343, -5186.822334898444, 10208.331108974953], [-5186.822334898444, -26.270690988357437, -8708.722581723228], [10208.331108974953, -8708.722581723228, 2.128515410641185]]","[[0.0009118106672820793, 0.000911811741700535, 0.0009118112605467922], [0.000911811741700535, 0.0009118128161455949, 0.0009118123349982668], [0.0009118112605467922, 0.0009118123349982668, 0.0009118118538688498]]",0.9584560368379337,20344.80667143334,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.7007867756870879,0.03350399861360013,0.265709225699312,"[-1.1339885188944254, -1.1339884327405614, -1.1339884047293505]","[[16.845268857322004, -3763.086214407458, 7449.156756826269], [-3763.086214407458, -19.280875476295467, -6971.514067730329], [7449.156756826269, -6971.514067730329, 0.9844654273377884]]","[[1.2359665407716551, 0.5775690416488071, 0.877823995534501], [0.5775690416488071, 0.9938916596318058, 0.5827869784104939], [0.877823995534501, 0.5827869784104939, 1.248039940506556]]",0.34139480198236316,15378.757484504584,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.24541374471742752,0.6778480336865487,0.07673822159602388,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.829375435496, 77285.65875087013], [-38642.829375435496, -193.21414687717606, 14389.861914384028], [77285.65875087013, 14389.861914384028, 114.59440083156807]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",9.827864830948359,123882.48718434363,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.24758941453211147,0.23645865420161788,0.5159519312662706,"[-1.5004436100018113, -1.5004435976396064, -1.5004435927622015]","[[24.51402943853438, -9677.256775845108, 18945.877279282115], [-9677.256775845108, -48.68268395520445, -9716.37328424677], [18945.877279282115, -9716.37328424677, 11.539902241361943]]","[[0.0002974328644262006, 0.0002974326165422306, 0.00029743292344697604], [0.0002974326165422306, 0.0002974323686595251, 0.0002974326755633281], [0.00029743292344697604, 0.0002974326755633281, 0.0002974329824694479]]",1.6850476059431272,33075.82278466955,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.3962037964228751,0.43304324372873415,0.17075295984839065,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.82937543493, 77059.9249244961], [-38642.82937543493, -193.21414687717606, 14389.861914384312], [77059.9249244961, 14389.861914384312, 113.67871547689461]]","[[0.0007518414694054031, 0.0007518416394089375, 0.0007518413405802633], [0.0007518416394089375, 0.0007518418094126302, 0.0007518415105838207], [0.0007518413405802633, 0.0007518415105838207, 0.0007518412117552317]]",7.175640242177237,123600.92387833796,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6231296938563184,0.2730114219072002,0.10385888423648121,"[-1.7697128408774072, -1.7697128177997865, -1.7697128265064725]","[[7.035168920715051, -22434.684135287596, 39664.87790107606], [-22434.684135287596, -114.0077919428105, -1469.5881046723257], [39664.87790107606, -1469.5881046723257, 43.40167550185363]]","[[0.005163186495008496, 0.005163186953230343, 0.005163187962269175], [0.005163186953230343, 0.005163187411454379, 0.0051631884204941724], [0.005163187962269175, 0.0051631884204941724, 0.005163189429535129]]",4.103194460214355,64479.21751762536,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.34907418439351645,0.1509467317731169,0.4999790838333667,"[-1.4172292617809836, -1.4172291979217142, -1.4172292329567062]","[[24.55771054482838, -7641.5719479297195, 14985.168510394402], [-7641.5719479297195, -38.505806139678, -9789.563331182975], [14985.168510394402, -9789.563331182975, 6.6144686762172]]","[[0.0004073236369814864, 0.0004073240846101283, 0.00040732432889655754], [0.0004073240846101283, 0.0004073245322413387, 0.0004073247765268749], [0.00040732432889655754, 0.0004073247765268749, 0.0004073250208144244]]",1.397726588709348,27524.008141993763,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.27335481995519173,0.4859593659598513,0.24068581408495693,"[-1.9594173783348292, -1.9594173986198422, -1.9594173983381569]","[[-27.743924608495263, -36273.39545043156, 68404.0418385615], [-36273.39545043156, -182.26326800467376, 11791.928088944132], [68404.0418385615, 11791.928088944132, 95.11663627975366]]","[[0.0009939591774120382, 0.0009939591654557654, 0.0009939591248812679], [0.0009939591654557654, 0.000993959153499854, 0.000993959112925154], [0.0009939591248812679, 0.000993959112925154, 0.0009939590723509902]]",6.575821199260413,110760.49154648285,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.8305251066283837,0.0092972026443193,0.16017769072729698,"[1.7765691093546994, 1.776569037978773, -0.8909832264831368]","[[-177.94464378768797, -11081.111893934512, 0.0], [-11081.111893934512, -57.002130203493714, -12145.382578788553], [0.0, -12145.382578788553, -154.14896502486667]]","[[0.3768782510080051, -0.007035367955569577, -0.004255669398549881], [-0.007035367955569577, 0.7081031625528168, -0.013444924017818341], [-0.004255669398549881, -0.013444924017818341, 0.35901090586838813]]",3.676408206137296,23252.12663445203,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.24889418689081017,0.6279891271602658,0.1231166859489241,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.82937543493, 77285.65875087013], [-38642.82937543493, -193.21414687717606, 14389.861914384595], [77285.65875087013, 14389.861914384595, 114.59440083156807]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",9.013194137007645,123882.4871843434,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.8959779495504727,0.0506415256651632,0.05338052478436412,"[2.0, -0.8106858519227154, 2.0]","[[-314.2354874190158, 56979.027671704964, -67077.3794668822], [56979.027671704964, 37.933038051703605, -37531.136299160506], [-67077.3794668822, -37531.136299160506, -189.4753881100213]]","[[0.00012514480135844617, 0.00012514477865132196, -0.0008258180538454196], [0.00012514477865132196, 0.00012514475594432314, -0.0008258173935585281], [-0.0008258180538454196, -0.0008258173935585281, 0.7576857747150446]]",19.554004287965505,135311.7782334783,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.046255353754854525,0.7725525288724036,0.18119211737274182,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.829375435496, 77285.65875087013], [-38642.829375435496, -193.21414687717606, 14389.861914384028], [77285.65875087013, 14389.861914384028, 114.59440083156807]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",11.013485713990312,123882.48718434363,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.15938333287324402,0.534566788596197,0.30604987853055887,"[-1.9236606129848492, -1.9236606744995157, -1.923660758034307]","[[-18.53451099825776, -32660.65961795988, 62415.52202123102], [-32660.65961795988, -163.97177245393024, 7942.371501577411], [62415.52202123102, 7942.371501577411, 84.52564771082436]]","[[0.0007752259585910078, 0.0007752260460402524, 0.000775225526158792], [0.0007752260460402524, 0.0007752261334900789, 0.0007752256136085604], [0.000775225526158792, 0.0007752256136085604, 0.0007752250937276204]]",6.049937841640988,100254.82061586635,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.21135020336561422,0.7267512122964289,0.061898584337956905,"[-2.0, -2.0, -2.0]","[[-35.97465478596149, -38642.829375435496, 77285.65875087013], [-38642.829375435496, -193.21414687717606, 14389.861914384028], [77285.65875087013, 14389.861914384028, 114.59440083156807]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",10.679447190800056,123882.48718434363,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.9271023563898301,0.01982964711850795,0.05306799649166184,"[2.0, 2.0, 2.0]","[[-104.03836143027458, 12518.977134566889, -25037.954269134025], [12518.977134566889, 62.594885672834444, 41615.34457210972], [-25037.954269134025, 41615.34457210972, 20.721737878719892]]","[[1.5502976761881513, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",19.740585446119074,70929.09744357204,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.11302027655845309,0.11756936292178301,0.7694103605197639,"[-1.4082397958545572, -1.4082397762211203, -1.4082397757562057]","[[24.473234439625813, -7439.419661454352, 14688.220935564046], [-7439.419661454352, -37.39342411169737, -9771.752265368788], [14688.220935564046, -9771.752265368788, 6.232673300439728]]","[[0.00018351647369681763, 0.00018351599742633928, 0.00018351609825029518], [0.00018351599742633928, 0.00018351552132684867, 0.00018351562216904727], [0.00018351609825029518, 0.00018351562216904727, 0.00018351572303587638]]",1.2430899617282969,27076.815156650504,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.15201783841761685,0.09911320262382521,0.748868958958558,"[-1.3936478673721606, -1.3936478041330658, -1.3936478834675374]","[[24.30176473297969, -7146.8185557791485, 14110.143721024926], [-7146.8185557791485, -35.935256022816375, -9709.577170125882], [14110.143721024926, -9709.577170125882, 5.600022725105447]]","[[0.00020396321781062635, 0.00020396278941333697, 0.00020396265888848156], [0.00020396278941333697, 0.00020396236102046246, 0.00020396223049483437], [0.00020396265888848156, 0.00020396223049483437, 0.00020396209997374673]]",1.2114581373391506,26246.905217917123,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5156555978896533,0.47962386867386964,0.0047205334364770965,"[-2.0, -2.0, -2.0]","[[-35.97465478596078, 0.0, 77285.65875087028], [0.0, -193.21414687717606, 14389.861914384595], [77285.65875087028, 14389.861914384595, 114.59440083156878]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",7.859326906734442,111177.03947623851,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2853040206020478,0.5545201563789204,0.16017582301903177,"[-2.0, -2.0, -2.0]","[[-35.97465478596078, -38642.82937543535, 77285.65875087028], [-38642.82937543535, -193.21414687717535, 14389.86191438417], [77285.65875087028, 14389.86191438417, 114.59440083156878]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",8.200066161766053,123882.48718434374,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.22358025386608435,0.49521139199117964,0.2812083541427361,"[-1.9067439018989947, -1.90674389254105, -1.9067438923969198]","[[-14.913172359488414, -31286.89440735357, 59569.565574290806], [-31286.89440735357, -157.1531561116501, 6535.624377950171], [59569.565574290806, 6535.624377950171, 79.19772629502404]]","[[0.0008853197864601962, 0.0008853195730649884, 0.0008853195358345827], [0.0008853195730649884, 0.0008853193596701738, 0.0008853193224397038], [0.0008853195358345827, 0.0008853193224397038, 0.0008853192852099029]]",5.623175466353504,95604.73718676077,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6630723658528298,0.21559196497752853,0.1213356691696416,"[-1.5423481909926253, -1.5423481941486568, -1.5423482094181418]","[[23.758887968748432, -11242.839375742868, 20639.853036037755], [-11242.839375742868, -57.450772243146986, -9010.390412605318], [20639.853036037755, -9010.390412605318, 14.195735720644187]]","[[0.004185286753192643, 0.004185286562555785, 0.004185286903807447], [0.004185286562555785, 0.0041852863719203034, 0.004185286713171687], [0.004185286903807447, 0.004185286713171687, 0.0041852870544257514]]",2.2715819000670976,35597.58809984215,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.15924293238199996,0.22810443958573998,0.61265262803226,"[-1.4874861165402926, -1.4874861077648502, -1.4874861121825547]","[[24.63154788430799, -9312.255030079796, 18295.341438162464], [-9312.255030079796, -46.810744326040776, -9784.817758354904], [18295.341438162464, -9784.817758354904, 10.659262866269614]]","[[0.0002209307472843871, 0.00022093062565950417, 0.00022093071364335997], [0.00022093062565950417, 0.0002209305040355593, 0.00022093059201880232], [0.00022093071364335997, 0.00022093059201880232, 0.00022093068000266484]]",1.5753626263621883,32161.52130847727,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6554817674663767,0.3072112001665029,0.03730703236712046,"[-2.0, -2.0, -2.0]","[[-35.974654785961135, -38642.82937543514, 77285.6587508702], [-38642.82937543514, -193.2141468771757, 14389.861914384383], [77285.6587508702, 14389.861914384383, 114.59440083156807]]","[[2.609511064675614e-05, 2.609514514709047e-05, 2.6095084283079315e-05], [2.609514514709047e-05, 2.6095179647470406e-05, 2.6095118783378793e-05], [2.6095084283079315e-05, 2.6095118783378793e-05, 2.609505791942912e-05]]",7.665594048207089,123882.48718434357,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.09778314283967077,0.8186466550043202,0.08357020215600902,"[-2.0, -2.0, -2.0]","[[-35.97465478596007, -38642.829375434645, 77285.65875087043], [-38642.829375434645, -193.21414687717464, 14389.861914384312], [77285.65875087043, 14389.861914384312, 114.59440083156949]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",12.396778100468852,123882.48718434352,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
