lambda1,lambda2,lambda3,x_opt,cov_matrix,sensitivity_norm,P_matrix,P_flattened
0.3465049292887006,0.1223007056264237,0.5311943650848757,"[0.0, 1.0, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.499999998227694, 0.5000000009368977]","[[2.7755575615628914e-15, 200.00000000000017, -399.99999999992764], [200.00000000000017, 1.0000000000000107, 8.604228440844963e-12], [-399.99999999992764, 8.604228440844963e-12, -0.499999999999938]]",632.4565202445812,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2680607165449513,0.2948915756767236,0.4370477077783251,"[0.0, 0.0, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349, 0.4999999940944349]","[[0.9999999999999898, -2.220446049250313e-12, 6.661338147750939e-12], [-2.220446049250313e-12, -1.6653345369377348e-14, -400.0000000000037], [6.661338147750939e-12, -400.0000000000037, -0.5000000000000115]]",565.6865298025099,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.266510599570769,0.7225904095895285,0.010898990839702472,"[1.0, 0.0, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753, 0.4999999876378753]","[[-1.0000000000000024, -200.00000000000028, 400.00000000000017], [-200.00000000000028, -1.0000000000000018, 400.0000000000017], [400.00000000000017, 400.0000000000017, 1.0000000000000009]]",848.5299051889705,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.98736820805589,0.0024720178163333,0.010159774127776716,"[1.0, 1.0, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.4999999958107999, 0.49999999085113667]","[[-1.0000000000000004, -200.00000000000009, 0.0], [-200.00000000000009, -1.0000000000000004, 400.0000000000006], [0.0, 400.0000000000006, 0.0]]",632.4571131705303,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.1159638150759005,0.784160274692143,0.09987591023195652,"[1.0, 0.5014511684498142, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396, 0.49999999666407396]","[[-1.0000000000000036, -199.99999999999855, 400.00000000000034], [-199.99999999999855, -0.9999999999999926, 399.99999999999756], [400.00000000000034, 399.99999999999756, 0.9999999999999953]]",848.5299051889659,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2765766921451664,0.2860737266410735,0.43734958121376005,"[0.0, 0.0, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553, 0.500000002123553]","[[1.0000000000000175, -1.1102230246251565e-12, 3.3306690738754696e-12], [-1.1102230246251565e-12, 5.551115123125783e-15, -400.0000000000014], [3.3306690738754696e-12, -400.0000000000014, -0.4999999999999616]]",565.6865298025067,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5199746559278374,0.3965122563457911,0.08351308772637145,"[1.0, 1.0, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099, 0.5000000022479099]","[[-0.9999999999999898, -199.9999999999752, 400.00000000000256], [-199.9999999999752, -0.9999999999999953, 399.9999999999998], [400.00000000000256, 399.9999999999998, 1.000000000000005]]",848.5299051889591,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.339631796976326,0.6442448283423243,0.01612337468134961,"[1.0, 0.0, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.5000000072598961, 0.49999999854817223, 0.49999999854817223]","[[-0.999999999999999, -200.0000000000004, 400.0000000000012], [-200.0000000000004, -1.0000000000000013, 400.00000000000045], [400.0000000000012, 400.00000000000045, 1.0000000000000009]]",848.5299051889702,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.3584639877206963,0.0319554773835037,0.6095805348958,"[0.0, 1.0, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521, 0.5000000009265521]","[[3.469446951953614e-15, 199.9999999999992, -400.00000000000074], [199.9999999999992, 1.0000000000000002, -1.3877787807814457e-13], [-400.00000000000074, -1.3877787807814457e-13, -0.49999999999999833]]",632.456520244673,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.2633916522719208,0.4524721677592224,0.28413617996885676,"[0.0, 0.0, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513, 0.5000000100807513]","[[0.9999999999999565, -1.1102230246251565e-11, -8.881784197001252e-12], [-1.1102230246251565e-11, -4.9960036108132044e-14, -400.00000000001035], [-8.881784197001252e-12, -400.00000000001035, -0.5000000000000282]]",565.6865298025193,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
