lambda_1,lambda_2,lambda_3,x_opt_1,x_opt_2,x_opt_3
0.764076776848455,0.0020458573868065745,0.23387736576473847,1.622846745789175,1.6228467114268652,-1.0055355916370157
0.4653059482078339,0.4259483435920808,0.10874570820008538,-2.0,-2.0,-2.0
0.3291613520829429,0.5846420282494884,0.08619661966756861,-2.0,-2.0,-2.0
0.11973106151253442,0.12517096061338337,0.7550979778740822,-1.4126651563949226,-1.4126651991884742,-1.4126651556030132
0.2538319131592564,0.6944957024681282,0.051672384372615426,-2.0,-2.0,-2.0
0.13233644490007715,0.7686842162301215,0.0989793388698014,-2.0,-2.0,-2.0
0.1001068901262781,0.8939105729960313,0.00598253687769055,-2.0,-2.0,-2.0
0.23262387495123255,0.5042598610998168,0.26311626394895077,-1.9475152944924845,-1.9475153077600464,-1.9475153015697697
0.29425208562898253,0.688651844498433,0.017096069872584406,-2.0,-2.0,-2.0
0.1478169053780388,0.5930568659846192,0.2591262286373421,-2.0,-2.0,-2.0
0.4167592984740342,0.19467999590451404,0.38856070562145173,-1.462292474952146,-1.4622924905088557,-1.4622925112040317
0.3284930759948629,0.35092373196431803,0.32058319204081914,-1.6781073012359549,-1.67810729179779,-1.6781073136612026
0.3282297349970755,0.3202463010714287,0.3515239639314959,-1.6239623573168294,-1.6239623508822305,-1.6239623562712966
0.15976409267639005,0.5006626473217124,0.33957326000189764,-1.8436268579098223,-1.843626868020956,-1.843626861578345
0.14862260268783553,0.08681684932179237,0.7645605479903721,-1.3861971305032497,-1.3861970829591574,-1.3861970449115921
0.22184810275299433,0.39751673126737336,0.38063516597963226,-1.6977941233971825,-1.6977941419803642,-1.6977941399272742
0.0014667920340516458,0.7248895741675427,0.2736436337984056,-2.0,-2.0,-2.0
0.16218019591619423,0.5865947168476396,0.2512250872361662,-2.0,-2.0,-2.0
0.23785047976589035,0.3537721083509137,0.408377411883196,-1.6382954888237868,-1.6382954838536947,-1.638295498511913
0.7154726963745113,0.22488669811851758,0.059640605506971284,-1.6627366271054773,-1.662736574724111,-1.6627365941400425
0.45870289990593954,0.2581351804745245,0.2831619196195361,-1.5657556947603146,-1.5657556619966222,-1.565755644553459
0.45256205216934947,0.050051672778873416,0.497386275051777,-1.3054851650156412,-1.3054851454644394,-1.3054852739740141
0.7574423408179707,0.09503087334432743,0.1475267858377019,-1.14974300130925,-1.1497430393373826,-1.1497430049075434
0.010185152982233344,0.657457757097221,0.3323570899205458,-2.0,-2.0,-2.0
0.04670893849094288,0.12032503665485286,0.8329660248542042,-1.4137344139022812,-1.4137343649254235,-1.4137343491519068
0.5978699487626192,0.039561711397350145,0.3625683398400306,-1.2303196619360066,-1.2303197576302705,-1.2303195799843476
0.02680515756036238,0.5758410504400723,0.39735379199956555,-1.8673932201978682,-1.8673932102813844,-1.8673932075827673
0.1783124133764908,0.7009121522352593,0.12077543438824988,-2.0,-2.0,-2.0
0.7321713039870166,0.033329995987540745,0.2344987000254427,-1.0935003205381524,-1.0935003129252232,-1.0935003214356627
0.7820619094555776,0.1846387394804636,0.03329935106395868,-1.4046944850610836,-1.404694503740404,-1.4046945097890005
0.44998799240609694,0.4058739531865846,0.14413805440731853,-2.0,-2.0,-2.0
0.45616103102786004,0.4790534194207249,0.0647855495514151,-2.0,-2.0,-2.0
0.3939686986068762,0.36174355012163406,0.24428775127148963,-1.755412777785349,-1.7554127960821548,-1.7554127983494257
0.19531016009950444,0.2817387200597959,0.5229511198406998,-1.5403994947308124,-1.540399429194452,-1.5403995161288686
0.12101766120220428,0.42706303431095366,0.45191930448684203,-1.6909281913122787,-1.6909281962264453,-1.6909282007546194
0.6695040291593761,0.06581503498961608,0.26468093585100777,-1.2083454639952855,-1.208345464130155,-1.2083454411743748
0.265980276421226,0.7175369747111493,0.016482748867624717,-2.0,-2.0,-2.0
0.48985823410820517,0.3595769830448109,0.15056478284698396,-1.9082026905474556,-1.9082027201022131,-1.9082027529923629
0.5769220660909904,0.28190646542570813,0.14117146848330153,-1.7226330537134578,-1.7226329904074502,-1.7226330760464676
0.03343396948667431,0.31100232807046113,0.6555637024428644,-1.5454950249751815,-1.5454950609845786,-1.5454950427958436
0.36087192340570745,0.6252836196994885,0.01384445689480409,-2.0,-2.0,-2.0
0.034019819468789465,0.723235889098101,0.24274429143310966,-2.0,-2.0,-2.0
0.21784564954182334,0.10646780211596235,0.6756865483422143,-1.3926474239021063,-1.3926474307902823,-1.3926474297901563
0.4721432274197128,0.23594314861102425,0.291913623969263,-1.5290012104001336,-1.529001218191532,-1.5290012342242856
0.13610355709085709,0.031697122800224256,0.8321993201089186,-1.354996747243248,-1.35499678277464,-1.3549967365519389
0.11705752202943266,0.36141406715638125,0.521528410814186,-1.6089291287010774,-1.6089291125505223,-1.6089291218155688
0.2622342196594836,0.05261711808162651,0.6851486622588897,-1.3499522352152589,-1.349952269190892,-1.349952247805774
0.4778410514910139,0.007958411636330756,0.5142005368726554,-1.260789793835734,-1.2607896750537222,-1.2607895754789262
0.22061204615045873,0.3392270288912527,0.44016092495828846,-1.6122951298061188,-1.6122951144573798,-1.6122951163570942
0.17675070725859238,0.3947980936983977,0.4284511990430099,-1.671118295577787,-1.6711182951685042,-1.6711182894226138
0.5788765918650005,0.2350040202780011,0.1861193878569984,-1.5616771834336338,-1.5616772249958255,-1.561677167816892
0.16326144157644973,0.5735901404813349,0.2631484179422153,-2.0,-2.0,-2.0
0.6017113660791702,0.022213055049428897,0.3760755788714008,-1.2094263744810867,-1.2094263668283816,-1.2094263743941562
0.26932798547035497,0.20866981816520824,0.5220021963644369,-1.474330956428714,-1.4743309575999615,-1.4743309624027536
0.288307514476214,0.5541236882165396,0.15756879730724654,-2.0,-2.0,-2.0
0.20211356658589036,0.45525643176441477,0.3426300016496949,-1.7886284718102452,-1.7886284053528647,-1.7886284318389736
0.38510516289223723,0.2865739200476074,0.3283209170601554,-1.5904530552088716,-1.5904530287178202,-1.590453071740966
0.08075081725031934,0.08757178553361755,0.831677397216063,-1.392466961289639,-1.39246698438743,-1.3924669749799836
0.2728556763145365,0.6101855585506748,0.11695876513478862,-2.0,-2.0,-2.0
0.6249217261352147,0.3696249854811873,0.005453288383598129,-2.0,-2.0,-2.0
0.27558088306986606,0.062009795104598156,0.6624093218255359,-1.3542602376500523,-1.354260245035168,1.260321312617528
0.07125194081175515,0.22266787893662143,0.7060801802516233,-1.479959673318895,-1.4799597156012165,-1.479959768279913
0.47561225190663226,0.047706714022014485,0.47668103407135326,-1.29584627752328,-1.2958463654959818,-1.2958462559436634
0.4944090097591133,0.07431032361431465,0.431280666626572,-1.3147400840084296,-1.3147399875768084,-1.3147400118119308
0.8427004576214785,0.09494538594834896,0.06235415643017257,-0.9739653400986615,-0.9739656010018916,-0.9739656843747665
0.3399513437676394,0.6346915093288747,0.025357146903485814,-2.0,-2.0,-2.0
0.1615759087814645,0.7691196835340312,0.0693044076845044,-2.0,-2.0,-2.0
0.18764768111256497,0.001308910062055692,0.8110434088253793,-1.3304138373590118,-1.3304138367419522,-1.3304138362907778
0.04886491276652745,0.2886666438654351,0.6624684433680375,-1.528984211131508,-1.5289842132652984,-1.5289842178561457
0.1683670160206712,0.2097415366452424,0.6218914473340863,-1.4726347212913962,-1.4726347287754251,-1.4726346797507976
0.6352377964469834,0.24473321474288726,0.12002898881012944,-1.6410657500861239,-1.6410657980972112,-1.6410657997666633
0.3831537952370293,0.013072518634389735,0.6037736861285808,-1.2964119759721286,-1.296412024298314,-1.2964120126492416
0.018778491128847743,0.5247466831432177,0.4564748257279345,-1.7756155195603218,-1.7756155136933114,-1.7756155225650754
0.12905405546490437,0.8209211768121043,0.05002476772299147,-2.0,-2.0,-2.0
0.298637865477636,0.27446221944797483,0.42689991507438907,-1.549637016185536,-1.5496370245639368,-1.5496370140798532
0.10672263711471143,0.6701303029756761,0.22314705990961262,-2.0,-2.0,-2.0
0.42688045917626116,0.1650211351726207,0.40809840565111805,-1.4260890065204965,-1.4260890215935207,-1.4260890134198543
0.12544050908227186,0.09044960677588813,0.78410988414184,-1.3905113542118224,-1.3905113122084938,-1.3905113131181999
0.21272807509240732,0.674291543291591,0.11298038161600167,-2.0,-2.0,-2.0
0.12130941736456438,0.4932816947396856,0.3854088878957501,-1.7950802005347783,-1.795080193995387,-1.7950802054126316
0.7263383548104847,0.14396188914084154,0.1296997560486737,-1.2964341498266196,-1.2964341636506327,-1.2964341472732759
0.6108940574230294,0.006534625585167478,0.38257131699180313,-1.186940658237621,-1.1869406509396763,-1.1869406763578192
0.3716582627313425,0.5317240023710763,0.09661773489758137,-2.0,-2.0,-2.0
0.36604648933155715,0.3799509859675265,0.25400252470091633,-1.7738004010325925,-1.7738004297757832,-1.7738003630879464
0.9358694215273642,0.008663405951714186,0.05546717252092146,2.0,2.0,2.0
0.10434444029817733,0.42447080769832646,0.47118475200349624,-1.6801004403456699,-1.6801002778807184,-1.6801003708702662
0.4351107809295384,0.30311100199504687,0.26177821707541465,-1.6465857364638614,-1.6465857571219602,-1.646585791234553
0.3644291063776972,0.4322271443564573,0.20334374926584553,-1.9411070942992565,-1.9411070564137765,-1.9411070499766978
0.36605190224758605,0.24202490335227173,0.3919231944001423,-1.519428470118352,-1.5194283683729382,-1.519428442759744
0.6039907063224695,0.39166011706462933,0.0043491766129011246,-2.0,-2.0,-2.0
0.18104453736428805,0.3200079870260635,0.49894747560964847,-1.5786637553462457,-1.5786637582276255,-1.5786637550142837
0.021514288522262896,0.6574806430523231,0.321005068425414,-2.0,-2.0,-2.0
0.40103697735537636,0.0168451052508557,0.582117917393768,-1.2941111532266902,-1.29411107886184,-1.2941110534691789
0.12284896097870264,0.38830663686749606,0.48884440215380137,-1.6416738853616546,-1.6416738851763022,-1.6416738949678102
0.8138007149998657,0.0805719577289993,0.10562732727113491,-1.0172205703042758,-1.0172205370928151,-1.0172205379621235
0.09738930382593797,0.32313350236216554,0.5794771938118964,-1.5656036689082364,-1.5656035364508025,-1.5656036722334077
0.08801976617310238,0.4504756540469882,0.4615045797799095,-1.7075120069261502,-1.7075119893109807,-1.7075119872095035
0.5945478896463071,0.08250299679280128,0.3229491135608916,-1.2821382329949644,-1.282138244540828,-1.2821382246759119
0.3988297585776787,0.5192985286018117,0.08187171282050942,-2.0,-2.0,-2.0
0.04447858044747532,0.015581461266042144,0.9399399582864826,-1.3572407666151851,-1.3572405066178876,-1.3572409141018047
0.5889781963669773,0.023642208877919294,0.38737959475510336,-1.2192345601399608,-1.2192343909770198,-1.2192342688617261
0.4644570873596364,0.4697675173507247,0.06577539528963881,-2.0,-2.0,-2.0
0.515296898372863,0.008734979972258137,0.47596812165487895,-1.2452271343690118,-1.245227210510162,-1.2452271789369986
0.2205083247511853,0.6895026217403488,0.08998905350846598,-2.0,-2.0,-2.0
0.7333513343328705,0.034307748836888696,0.23234091683024102,-1.0931047008234516,-1.0931047128133211,-1.0931046966276468
0.12404343568333559,0.4115564360246216,0.4644001282920428,-1.6714155668304473,-1.6714155782423714,-1.6714155792076892
0.5856790122960966,0.26978226382805404,0.14453872387584943,-1.6841480144762337,-1.6841480127759099,-1.6841479754795108
0.30031289795168664,0.5339147897749437,0.16577231227336972,-2.0,-2.0,-2.0
0.21949278721638102,0.548622137309377,0.23188507547424184,-2.0,-2.0,-2.0
0.09100501804623501,0.4430555765578602,0.4659394053959048,-1.6988409720671966,-1.6988409446581414,-1.6988410018147815
0.21164670541280137,0.32504886703883873,0.46330442754835977,-1.591902256184212,-1.591902264180889,-1.5919022530368414
0.543194390415157,0.20484842245453466,0.2519571871303083,-1.4832792372300974,-1.4832792455772614,-1.4832792359940485
0.674726224901035,0.047900708384605625,0.27737306671435946,-1.179923616185153,-1.1799236413164307,-1.1799236744841952
0.4547632761297484,0.09908955191134737,0.4461471719589041,-1.350693288594315,-1.35069336467578,-1.3506933153962781
